id,brand,colorway,estimatedMarketValue,gender,small_image_url,original_image_url,thumbnail_image_url,goat_link,stockx_link,flightclub_link,stadiumgoods_link,name,releaseYear,retailPrice,silhouette,sku,story,UID
3346,ASICS,"Cream/Solar Power",322.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/091/857/682/original/1244089_00.png.png,https://image.goat.com/attachments/product_template_pictures/images/091/857/682/original/1244089_00.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/091/857/682/original/1244089_00.png.png,https://goat.com/sneakers/kith-x-gt-2160-cream-solar-power-1201a955-101,https://stockx.com/asics-gt-2160-kith-cream-solar-power,https://flightclub.com/kith-x-gt-2160-cream-solar-power-1201a955-101,,"ASICS GT-2160 Kith Cream Solar Power",2023,140.00,"GT 2160",1201A955-101,,c7a926ed-3da0-445e-80ac-1cfb6265e794
3347,ASICS,"Black/Safety Yellow",90.00,men,false,[],[],,https://stockx.com/asics-gel-flexkee-black-safety-yellow,,,"ASICS Gel-Flexkee Black Safety Yellow",2023,90.00,"ASICS Gel-Flexkee",1201A213-002,,1dfd1dc7-a4c4-410f-9a33-85e35875d734
3348,ASICS,Black/Birtch,170.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/091/996/463/original/1201A212_003.png.png,https://image.goat.com/attachments/product_template_pictures/images/091/996/463/original/1201A212_003.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/091/996/463/original/1201A212_003.png.png,https://goat.com/sneakers/gel-flexkee-pro-black-birch-gum-1201a212-003,https://stockx.com/asics-gel-flexkee-pro-black-birtch,https://flightclub.com/gel-flexkee-pro-black-birch-gum-1201a212-003,,"ASICS Gel-Flexkee Pro Black Birtch",2023,135.00,"Gel Flexkee Pro",1201A212-003,,29f56fd0-bd53-4849-92c0-b56f08cc25fe
3349,ASICS,"Graphite Grey/Black",90.00,men,false,[],[],,https://stockx.com/asics-aaron-pro-graphite-grey-black,,,"ASICS Aaron Pro Graphite Grey Black",2023,90.00,"ASICS Aaron Pro",1201A570-020,,35f8fcee-974e-46f5-95dd-3e93073caaa5
3350,ASICS,Peacoat/Black,90.00,men,true,[],[],,https://stockx.com/asics-gel-vickka-pro-black-peacoat,,,"ASICS Gel-Vickka Pro Black Peacoat",2023,90.00,"ASICS Gel-Vickka Pro",1201A486-400,,406cc3c8-9b6f-45ec-810a-475a9b59be6e
3351,ASICS,"Monaco Blue/Ivory",90.00,men,false,[],[],,https://stockx.com/asics-aaron-pro-monaco-blue,,,"ASICS Aaron Pro Monaco Blue",2023,90.00,"ASICS Aaron Pro",1201A570-400,,59a7f9c4-cd30-45f3-8f52-2606cf2b026e
3352,ASICS,"Black/Polar Shade",170.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/091/996/462/original/1201A212_001.png.png,https://image.goat.com/attachments/product_template_pictures/images/091/996/462/original/1201A212_001.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/091/996/462/original/1201A212_001.png.png,https://goat.com/sneakers/gel-flexkee-pro-black-polar-shade-gum-1201a212-001,https://stockx.com/asics-gel-flexkee-pro-black-polar-shade,https://flightclub.com/gel-flexkee-pro-black-polar-shade-gum-1201a212-001,,"ASICS Gel-Flexkee Pro Black Polar Shade",2023,135.00,"Gel Flexkee Pro",1201A212-001,,85a61cef-7d5b-4f93-9ebc-3596d4440361
3353,ASICS,"Almond Brown/Wood Crepe",135.00,men,false,[],[],,https://stockx.com/asics-gel-flexkee-pro-almond-brown,,,"ASICS Gel-Flexkee Pro Almond Brown",2023,135.00,"ASICS Gel-Flexkee Pro",1201A212-201,,88ce246e-297c-4400-be16-50c610621df3
3354,ASICS,White/Cream,90.00,men,false,[],[],,https://stockx.com/asics-gel-vickka-pro-cream-white,,,"ASICS Gel-Vickka Pro Cream White",2023,90.00,"ASICS Gel-Vickka Pro",1201A196-100,,88f77b2c-5658-4a86-b965-2ef3c31e9216
3355,ASICS,Black/White,110.00,men,false,[],[],,https://stockx.com/asics-japan-pro-black-white,,,"ASICS Japan Pro Black White",2023,110.00,"ASICS Japan Pro",1201A920-001,,9cb325f1-ef38-4057-91af-8f298477fd95
